2023-11-10 09:25:33.839 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - The following 1 profile is active: "local"
2023-11-10 09:25:33.856 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-10 09:25:33.856 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-10 09:25:34.265 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-10 09:25:34.268 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-10 09:25:34.268 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-10 09:25:34.268 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-10 09:25:34.290 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-10 09:25:34.290 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 434 ms
2023-11-10 09:25:34.480 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:25:34.481 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/css/**']
2023-11-10 09:25:34.481 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:25:34.481 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/js/**']
2023-11-10 09:25:34.481 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:25:34.481 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/images/**']
2023-11-10 09:25:34.496 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2b4353c7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7fff1bed, org.springframework.security.web.context.SecurityContextPersistenceFilter@5c66f3ea, org.springframework.security.web.header.HeaderWriterFilter@5af91484, org.springframework.security.web.csrf.CsrfFilter@702ddd0d, org.springframework.security.web.authentication.logout.LogoutFilter@70f9025, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@68d480fa, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f672ced, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1b4151e5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@33e087b8, org.springframework.security.web.session.SessionManagementFilter@557b9ee8, org.springframework.security.web.access.ExceptionTranslationFilter@ea84f62, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@b5c833d]
2023-11-10 09:25:34.588 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-10 09:25:34.595 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-10 09:25:34.601 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-10 09:25:34.607 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Started Project05Application in 0.9 seconds (JVM running for 1.157)
2023-11-10 09:25:41.225 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
